image_id,non_seg,seg,label
AIX034925,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\AIX034925.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/AIX034925.jpg,
AIX043024,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\AIX043024.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/AIX043024.jpg,
AIX055881,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\AIX055881.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/AIX055881.jpg,
ALF032718,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF032718.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF032718.jpg,
ALF032721,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF032721.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF032721.jpg,
ALF032741,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF032741.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF032741.jpg,
ALF032746,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF032746.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF032746.jpg,
ALF035277,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF035277.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF035277.jpg,
ALF035285,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF035285.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF035285.jpg,
ALF035290,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF035290.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF035290.jpg,
ALF035347,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF035347.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF035347.jpg,
ALF035400,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF035400.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF035400.jpg,
ALF039206,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF039206.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF039206.jpg,
ALF043980,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF043980.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF043980.jpg,1.0
ALF044006,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF044006.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF044006.jpg,0.0
ALF044014,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF044014.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF044014.jpg,1.0
ALF044608,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF044608.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF044608.jpg,1.0
ALF044610,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF044610.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF044610.jpg,1.0
ALF046447,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF046447.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF046447.jpg,1.0
ALF046482,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ALF046482.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ALF046482.jpg,1.0
ANG000419,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG000419.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG000419.jpg,
ANG000430,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG000430.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG000430.jpg,
ANG002056,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG002056.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG002056.jpg,
ANG005088,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005088.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005088.jpg,
ANG005330,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005330.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005330.jpg,
ANG005458,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005458.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005458.jpg,
ANG005486,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005486.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005486.jpg,
ANG005488,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005488.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005488.jpg,
ANG005510,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005510.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005510.jpg,
ANG005659,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005659.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005659.jpg,
ANG005673,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005673.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005673.jpg,
ANG005751,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005751.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005751.jpg,
ANG005828,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005828.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005828.jpg,
ANG005851,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005851.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005851.jpg,
ANG005906,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000\ANG005906.jpg,C:\Users\zakar\Downloads\DeepLearning\mission_herbonaute_2000_seg_black/ANG005906.jpg,
