image_id,non_seg,seg,label
AIX034925,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/AIX034925.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/AIX034925.jpg,
AIX043024,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/AIX043024.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/AIX043024.jpg,
AIX055881,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/AIX055881.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/AIX055881.jpg,
ALF032718,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF032718.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF032718.jpg,
ALF032721,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF032721.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF032721.jpg,
ALF032741,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF032741.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF032741.jpg,
ALF032746,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF032746.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF032746.jpg,
ALF035277,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF035277.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF035277.jpg,
ALF035285,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF035285.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF035285.jpg,
ALF035290,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF035290.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF035290.jpg,
ALF035347,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF035347.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF035347.jpg,
ALF035400,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF035400.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF035400.jpg,
ALF039206,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF039206.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF039206.jpg,
ALF043980,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF043980.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF043980.jpg,1.0
ALF044006,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF044006.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF044006.jpg,0.0
ALF044014,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF044014.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF044014.jpg,1.0
ALF044608,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF044608.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF044608.jpg,1.0
ALF044610,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF044610.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF044610.jpg,1.0
ALF046447,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF046447.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF046447.jpg,1.0
ALF046482,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ALF046482.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ALF046482.jpg,1.0
ANG000419,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG000419.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG000419.jpg,
ANG000430,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG000430.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG000430.jpg,
ANG002056,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG002056.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG002056.jpg,
ANG005088,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG005088.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG005088.jpg,
ANG005330,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG005330.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG005330.jpg,
ANG005458,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG005458.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG005458.jpg,
ANG005486,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG005486.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG005486.jpg,
ANG005488,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000/ANG005488.jpg,./Data_Projet_Complet/Data_Projet/mission_herbonaute_2000_seg_black/ANG005488.jpg,
